chr	start	end	strand	ensembl	gene_name	gene_type
1	9294863	9331396	+	ENSG00000049239	H6PD	protein_coding
1	9352939	9429591	+	ENSG00000171621	SPSB1	protein_coding
1	9599541	9642831	+	ENSG00000171612	SLC25A33	protein_coding
1	9648932	9674935	+	ENSG00000188807	TMEM201	protein_coding
1	9711790	9789172	+	ENSG00000171608	PIK3CD	protein_coding
1	9712668	9714644	-	ENSG00000179840	C1orf200	protein_coding
1	9789084	9884584	-	ENSG00000171603	CLSTN1	protein_coding
1	9908334	9970394	-	ENSG00000178585	CTNNBIP1	protein_coding
1	9982171	10003465	-	ENSG00000162441	LZIC	protein_coding
1	10003486	10045559	+	ENSG00000173614	NMNAT1	protein_coding
1	10057264	10076078	+	ENSG00000162444	RBP7	protein_coding
1	10092890	10241297	+	ENSG00000130939	UBE4B	protein_coding
1	10270764	10441661	+	ENSG00000054523	KIF1B	protein_coding
1	10458649	10480233	+	ENSG00000142657	PGD	protein_coding
1	10490159	10512210	+	ENSG00000175279	APITD1	protein_coding
1	10490159	10512210	+	ENSG00000251503	APITD1-CORT	protein_coding
1	10509776	10511959	+	ENSG00000241563	CORT	protein_coding
1	10516579	10532583	-	ENSG00000160049	DFFA	protein_coding
1	10532345	10690815	+	ENSG00000142655	PEX14	protein_coding
1	10696661	10856707	-	ENSG00000130940	CASZ1	protein_coding
1	11006528	11042094	-	ENSG00000175262	C1orf127	protein_coding
1	11072414	11085796	+	ENSG00000120948	TARDBP	protein_coding
1	11086580	11107290	-	ENSG00000009724	MASP2	protein_coding
1	11114641	11120081	-	ENSG00000116649	SRM	protein_coding
1	11126675	11159938	-	ENSG00000171824	EXOSC10	protein_coding
1	11166592	11322608	-	ENSG00000198793	MTOR	protein_coding
1	11249398	11256038	+	ENSG00000171819	ANGPTL7	protein_coding
1	11333263	11356106	+	ENSG00000120942	UBIAD1	protein_coding
1	11539223	11597641	+	ENSG00000204624	PTCHD2	protein_coding
1	11708424	11715842	-	ENSG00000116661	FBXO2	protein_coding
1	11714432	11723384	+	ENSG00000132879	FBXO44	protein_coding
1	11724181	11734411	+	ENSG00000116663	FBXO6	protein_coding
1	11734538	11751707	-	ENSG00000116670	MAD2L2	protein_coding
1	11751786	11785914	+	ENSG00000162490	C1orf187	protein_coding
1	11796141	11814859	+	ENSG00000177674	AGTRAP	protein_coding
1	11821844	11849642	+	ENSG00000215910	C1orf167	protein_coding
1	11845780	11866977	-	ENSG00000177000	MTHFR	protein_coding
1	11866207	11903201	+	ENSG00000011021	CLCN6	protein_coding
1	11905766	11908402	-	ENSG00000175206	NPPA	protein_coding
1	11917521	11918988	-	ENSG00000120937	NPPB	protein_coding
1	11979648	11986485	-	ENSG00000116685	KIAA2013	protein_coding
1	11994262	12035599	+	ENSG00000083444	PLOD1	protein_coding
1	12040238	12073571	+	ENSG00000116688	MFN2	protein_coding
1	12079523	12092102	+	ENSG00000116691	MIIP	protein_coding
1	12123434	12204264	+	ENSG00000120949	TNFRSF8	protein_coding
1	12227060	12269285	+	ENSG00000028137	TNFRSF1B	protein_coding
1	12290124	12572099	+	ENSG00000048707	VPS13D	protein_coding
1	12627939	12677737	-	ENSG00000162496	DHRS3	protein_coding
1	12704566	12727097	+	ENSG00000204518	AADACL4	protein_coding
1	12776118	12788726	+	ENSG00000188984	AADACL3	protein_coding
1	12806163	12823847	+	ENSG00000157330	C1orf158	protein_coding
1	12834984	12838049	+	ENSG00000116726	PRAMEF12	protein_coding
1	12851546	12856777	+	ENSG00000116721	PRAMEF1	protein_coding
1	12884468	12891264	-	ENSG00000204513	PRAMEF11	protein_coding
1	12907261	12908578	-	ENSG00000179172	HNRNPCL1	protein_coding
1	12916941	12921764	+	ENSG00000120952	PRAMEF2	protein_coding
1	12939045	12946025	-	ENSG00000243073	PRAMEF4	protein_coding
1	12952727	12958101	-	ENSG00000187545	PRAMEF10	protein_coding
1	12976450	12980569	+	ENSG00000204510	PRAMEF7	protein_coding
1	12998181	13117751	-	ENSG00000232423	PRAMEF6	protein_coding
1	13035543	13038381	+	ENSG00000204508	PRAMEF22	protein_coding
1	13052394	13052998	-	ENSG00000239810	WI2-3308P17.2	protein_coding
1	13216356	13219581	-	ENSG00000229571	WI2-2994D6.2	protein_coding
1	13328196	13331692	-	ENSG00000204503	PRAMEF3	protein_coding
1	13359819	13369057	+	ENSG00000204502	PRAMEF5	protein_coding
1	13386646	13390765	-	ENSG00000182330	PRAMEF8	protein_coding
1	13421176	13428191	+	ENSG00000204501	PRAMEF9	protein_coding
1	13447414	13452656	-	ENSG00000204495	PRAMEF13	protein_coding
1	13474053	13477569	-	ENSG00000204491	PRAMEF18	protein_coding
1	13495254	13498260	+	ENSG00000204488	PRAMEF16	protein_coding
1	13516066	13526943	+	ENSG00000204486	PRAMEF21	protein_coding
1	13641973	13648988	+	ENSG00000157358	PRAMEF15	protein_coding
1	13668269	13673511	-	ENSG00000204481	PRAMEF14	protein_coding
1	13694889	13698405	-	ENSG00000204480	PRAMEF19	protein_coding
1	13716088	13719064	+	ENSG00000204479	PRAMEF17	protein_coding
1	13736907	13747803	+	ENSG00000204478	PRAMEF20	protein_coding
1	13801445	13840543	-	ENSG00000162494	LRRC38	protein_coding
1	13909960	13944452	+	ENSG00000162493	PDPN	protein_coding
1	14026693	14151560	+	ENSG00000116731	PRDM2	protein_coding
1	14219052	14507087	+	ENSG00000218328	C1orf196	protein_coding
1	14925200	15444539	+	ENSG00000189337	KAZN	protein_coding
1	15479028	15546974	+	ENSG00000171729	TMEM51	protein_coding
1	15490840	15497813	-	ENSG00000204464	C1orf195	protein_coding
1	15573768	15726858	+	ENSG00000142621	FHAD1	protein_coding
1	15736391	15756839	+	ENSG00000142634	EFHD2	protein_coding
1	15764935	15775737	+	ENSG00000162438	CTRC	protein_coding
1	15783223	15798586	+	ENSG00000142615	CELA2A	protein_coding
1	15792404	15817895	+	ENSG00000215704	CELA2B	protein_coding
1	15817327	15853029	-	ENSG00000132906	CASP9	protein_coding
1	15853308	15918874	+	ENSG00000116138	DNAJC16	protein_coding
1	15898848	15911605	-	ENSG00000116771	AGMAT	protein_coding
1	15943995	15995539	+	ENSG00000197312	DDI2	protein_coding
1	15986364	15988217	+	ENSG00000215695	RSC1A1	protein_coding
1	16010827	16061264	+	ENSG00000116786	PLEKHM2	protein_coding
1	16062900	16067891	+	ENSG00000162461	SLC25A34	protein_coding
1	16068917	16074477	+	ENSG00000162460	TMEM82	protein_coding
1	16083102	16113089	+	ENSG00000162458	FBLIM1	protein_coding
1	16174359	16266955	+	ENSG00000065526	SPEN	protein_coding
1	16268364	16302627	-	ENSG00000116809	ZBTB17	protein_coding
1	16330731	16335302	+	ENSG00000183888	C1orf64	protein_coding
1	16340523	16346089	-	ENSG00000173641	HSPB7	protein_coding
1	16345330	16360545	+	ENSG00000186510	CLCNKA	protein_coding
1	16370247	16383803	+	ENSG00000184908	CLCNKB	protein_coding
1	16384264	16400127	-	ENSG00000185519	FAM131C	protein_coding
1	16450832	16482582	-	ENSG00000142627	EPHA2	protein_coding
1	16524349	16539140	-	ENSG00000142632	ARHGEF19	protein_coding
1	16542404	16543823	-	ENSG00000237276	ANO7L1	protein_coding
1	16555170	16563495	-	ENSG00000132881	RSG1	protein_coding
1	16555170	16556094	-	ENSG00000204377	C1orf134	protein_coding
1	16573334	16678949	-	ENSG00000037637	FBXO42	protein_coding
1	16679070	16724640	+	ENSG00000055070	C1orf144	protein_coding
1	16713612	16763919	-	ENSG00000187144	SPATA21	protein_coding
1	16767167	16786573	+	ENSG00000157191	NECAP2	protein_coding
1	16862255	16864669	+	ENSG00000197511	AL355149.1	protein_coding
1	16999498	17000007	+	ENSG00000237847	AL137798.1	protein_coding
1	17081405	17096732	-	ENSG00000186715	MST1P9	protein_coding
1	17196254	17198668	-	ENSG00000196690	BX284668.1	protein_coding
1	17222232	17299459	+	ENSG00000058453	CROCC	protein_coding
1	17300997	17307330	-	ENSG00000117122	MFAP2	protein_coding
1	17312453	17338423	-	ENSG00000159363	ATP13A2	protein_coding
1	17345217	17380665	-	ENSG00000117118	SDHB	protein_coding
1	17393256	17445948	-	ENSG00000117115	PADI2	protein_coding
1	17531621	17572500	+	ENSG00000142623	PADI1	protein_coding
1	17575593	17610728	+	ENSG00000142619	PADI3	protein_coding
1	17634690	17690499	+	ENSG00000159339	PADI4	protein_coding
1	17733256	17766220	-	ENSG00000179051	RCC2	protein_coding
1	17866330	18024369	+	ENSG00000074964	ARHGEF10L	protein_coding
1	18081808	18153558	+	ENSG00000117148	ACTL8	protein_coding
1	18434240	18704977	+	ENSG00000117154	IGSF21	protein_coding
1	18807424	18812534	+	ENSG00000179023	KLHDC7A	protein_coding
1	18957500	19075360	+	ENSG00000009709	PAX7	protein_coding
1	19166093	19186176	-	ENSG00000179002	TAS1R2	protein_coding
1	19197926	19229275	-	ENSG00000159423	ALDH4A1	protein_coding
1	19230774	19283180	-	ENSG00000169991	IFFO2	protein_coding
1	19401000	19536770	-	ENSG00000127481	UBR4	protein_coding
1	19542158	19578046	-	ENSG00000127463	KIAA0090	protein_coding
1	19578033	19586622	+	ENSG00000053372	MRTO4	protein_coding
1	19609052	19615744	-	ENSG00000162482	AKR7A3	protein_coding
1	19630459	19638640	-	ENSG00000053371	AKR7A2	protein_coding
1	19638820	19655794	+	ENSG00000040487	PQLC2	protein_coding
1	19665267	19812066	-	ENSG00000077549	CAPZB	protein_coding
1	19923477	19956314	+	ENSG00000173436	MINOS1	protein_coding
1	19967048	19984945	+	ENSG00000158747	NBL1	protein_coding
1	19991780	20006055	+	ENSG00000158748	HTR6	protein_coding
1	20008706	20126438	-	ENSG00000162542	TMCO4	protein_coding
1	20140523	20141771	-	ENSG00000178828	RNF186	protein_coding
1	20209006	20239438	+	ENSG00000169914	OTUD3	protein_coding
1	20246502	20250110	-	ENSG00000188784	PLA2G2E	protein_coding
1	20301925	20306932	-	ENSG00000188257	PLA2G2A	protein_coding
1	20354672	20417683	+	ENSG00000127472	PLA2G5	protein_coding
1	20438432	20446050	-	ENSG00000117215	PLA2G2D	protein_coding
1	20465819	20476879	+	ENSG00000158786	PLA2G2F	protein_coding
1	20487746	20503917	-	ENSG00000187980	PLA2G2C	protein_coding
1	20512578	20522541	+	ENSG00000162543	UBXN10	protein_coding
1	20617412	20681387	+	ENSG00000158816	VWA5B1	protein_coding
1	20808884	20812713	-	ENSG00000162545	CAMK2N1	protein_coding
1	20825943	20834654	-	ENSG00000090432	MUL1	protein_coding
1	20878932	20881512	+	ENSG00000183114	FAM43B	protein_coding
1	20915441	20945401	+	ENSG00000158825	CDA	protein_coding
1	20959948	20978004	+	ENSG00000158828	PINK1	protein_coding
1	20978270	20988000	-	ENSG00000244038	DDOST	protein_coding
1	20990507	21044510	-	ENSG00000117245	KIF17	protein_coding
1	21046225	21059330	-	ENSG00000189410	SH2D5	protein_coding
1	21069154	21113816	-	ENSG00000127483	HP1BP3	protein_coding
1	21132972	21503377	-	ENSG00000075151	EIF4G3	protein_coding
1	21543740	21671997	-	ENSG00000117298	ECE1	protein_coding
1	21766621	21811498	+	ENSG00000142794	NBPF3	protein_coding
1	21835858	21904905	+	ENSG00000162551	ALPL	protein_coding
1	21922708	21995856	-	ENSG00000076864	RAP1GAP	protein_coding
1	22004791	22110099	-	ENSG00000090686	USP48	protein_coding
1	22138758	22151714	+	ENSG00000187942	LDLRAD2	protein_coding
1	22148738	22263790	-	ENSG00000142798	HSPG2	protein_coding
1	22303514	22325135	+	ENSG00000219073	CELA3B	protein_coding
1	22328149	22339032	+	ENSG00000142789	CELA3A	protein_coding
1	22379120	22419437	+	ENSG00000070831	CDC42	protein_coding
1	22446461	22470462	-	ENSG00000162552	WNT4	protein_coding
1	22778344	22857650	+	ENSG00000184677	ZBTB40	protein_coding
1	22890057	22930087	+	ENSG00000070886	EPHA8	protein_coding
1	22962999	22966175	+	ENSG00000173372	C1QA	protein_coding
1	22970123	22974603	+	ENSG00000159189	C1QC	protein_coding
1	22979255	22988031	+	ENSG00000173369	C1QB	protein_coding
1	23037332	23241818	+	ENSG00000133216	EPHB2	protein_coding
1	23280239	23291797	-	ENSG00000215906	LACTBL1	protein_coding
1	23345941	23410182	+	ENSG00000004487	KDM1A	protein_coding
1	23410516	23504301	-	ENSG00000169641	LUZP1	protein_coding
1	23516993	23521222	-	ENSG00000179546	HTR1D	protein_coding
1	23630264	23670829	-	ENSG00000125944	HNRNPR	protein_coding
1	23685941	23695935	-	ENSG00000125945	ZNF436	protein_coding
1	23695490	23698332	+	ENSG00000249087	C1orf213	protein_coding
1	23707554	23751233	-	ENSG00000204219	TCEA3	protein_coding
1	23750352	23810750	-	ENSG00000088280	ASAP3	protein_coding
1	23832922	23857712	-	ENSG00000007968	E2F2	protein_coding
1	23884409	23886285	-	ENSG00000117318	ID3	protein_coding
1	23907985	23967058	+	ENSG00000197880	MDS2	protein_coding
1	24018269	24022915	+	ENSG00000142676	RPL11	protein_coding
1	24069645	24088549	+	ENSG00000011007	TCEB3	protein_coding
1	24104895	24114722	+	ENSG00000057757	PITHD1	protein_coding
1	24117460	24122029	+	ENSG00000011009	LYPLA2	protein_coding
1	24122089	24127271	-	ENSG00000117308	GALE	protein_coding
1	24128375	24165110	-	ENSG00000117305	HMGCL	protein_coding
1	24171567	24194784	-	ENSG00000179163	FUCA1	protein_coding
1	24197016	24285549	-	ENSG00000188822	CNR2	protein_coding
1	24285599	24289952	+	ENSG00000189266	PNRC2	protein_coding
1	24291294	24307417	-	ENSG00000188529	SRSF10	protein_coding
1	24382525	24438665	-	ENSG00000142661	MYOM3	protein_coding
1	24446261	24469611	-	ENSG00000142677	IL22RA1	protein_coding
1	24480647	24514449	-	ENSG00000185436	IL28RA	protein_coding
1	24645812	24690972	+	ENSG00000158055	GRHL3	protein_coding
1	24683489	24743424	-	ENSG00000001460	C1orf201	protein_coding
1	24742284	24799466	+	ENSG00000001461	NIPAL3	protein_coding
1	24829387	24863506	+	ENSG00000117602	RCAN3	protein_coding
1	24882602	24935819	+	ENSG00000184454	C1orf130	protein_coding
1	24958207	24999758	+	ENSG00000133226	SRRM1	protein_coding
1	25071848	25170815	+	ENSG00000169504	CLIC4	protein_coding
1	25226002	25291612	-	ENSG00000020633	RUNX3	protein_coding
1	25549170	25558993	-	ENSG00000117614	SYF2	protein_coding
1	25568740	25594327	-	ENSG00000117616	C1orf63	protein_coding
1	25598981	25656936	+	ENSG00000187010	RHD	protein_coding
1	25664408	25688852	+	ENSG00000183726	TMEM50A	protein_coding
1	25688741	25756683	-	ENSG00000188672	RHCE	protein_coding
1	25757388	25826700	+	ENSG00000204178	TMEM57	protein_coding
1	25870071	25895377	+	ENSG00000157978	LDLRAP1	protein_coding
1	25943959	26112698	+	ENSG00000117643	MAN1C1	protein_coding
1	26126667	26144713	+	ENSG00000162430	SEPN1	protein_coding
1	26145131	26159432	+	ENSG00000117640	FAM54B	protein_coding
1	26145212	26147288	-	ENSG00000223474	AL020996.1	protein_coding
1	26158414	26185903	-	ENSG00000127423	C1orf135	protein_coding
1	26187701	26197744	-	ENSG00000182749	PAQR7	protein_coding
1	26210672	26233482	-	ENSG00000117632	STMN1	protein_coding
1	26286258	26324648	-	ENSG00000158006	PAFAH2	protein_coding
1	26346375	26362955	+	ENSG00000158008	EXTL1	protein_coding
1	26363743	26372624	-	ENSG00000158014	SLC30A2	protein_coding
1	26377795	26394927	-	ENSG00000158022	TRIM63	protein_coding
1	26437664	26452034	+	ENSG00000175087	PDIK1L	protein_coding
1	26485511	26489119	+	ENSG00000197245	GRRP1	protein_coding
1	26496362	26498551	+	ENSG00000142684	ZNF593	protein_coding
1	26503894	26516377	+	ENSG00000142675	CNKSR1	protein_coding
1	26517052	26529459	+	ENSG00000188782	CATSPER4	protein_coding
1	26560691	26605299	+	ENSG00000130695	CEP85	protein_coding
1	26605667	26608007	+	ENSG00000142669	SH3BGRL3	protein_coding
1	26607819	26644854	-	ENSG00000158062	UBXN11	protein_coding
1	26644448	26647014	+	ENSG00000169442	CD52	protein_coding
1	26648350	26680621	-	ENSG00000176092	AIM1L	protein_coding
1	26688125	26701013	-	ENSG00000176083	ZNF683	protein_coding
1	26737269	26756213	+	ENSG00000131914	LIN28A	protein_coding
1	26758773	26797785	+	ENSG00000117682	DHDDS	protein_coding
1	26798941	26802463	+	ENSG00000198830	HMGN2	protein_coding
1	26856252	26901521	+	ENSG00000117676	RPS6KA1	protein_coding
1	27022524	27108595	+	ENSG00000117713	ARID1A	protein_coding
1	27113963	27124889	+	ENSG00000060642	PIGV	protein_coding
1	27153201	27183391	+	ENSG00000204160	ZDHHC18	protein_coding
1	27189633	27190947	+	ENSG00000175793	SFN	protein_coding
1	27205773	27216788	-	ENSG00000142751	GPN2	protein_coding
1	27216979	27226962	-	ENSG00000198746	GPATCH3	protein_coding
1	27226729	27273353	+	ENSG00000090273	NUDC	protein_coding
1	27237980	27240457	-	ENSG00000131910	NR0B2	protein_coding
1	27276053	27286897	-	ENSG00000175707	C1orf172	protein_coding
1	27320198	27327147	+	ENSG00000253368	TRNP1	protein_coding
1	27331511	27339327	-	ENSG00000158246	FAM46B	protein_coding
1	27425306	27493472	-	ENSG00000090020	SLC9A1	protein_coding
1	27561007	27635110	+	ENSG00000142784	WDTC1	protein_coding
1	27648651	27662891	+	ENSG00000186501	TMEM222	protein_coding
1	27668513	27680421	+	ENSG00000142765	SYTL1	protein_coding
1	27681670	27693383	-	ENSG00000142733	MAP3K6	protein_coding
1	27695603	27701315	-	ENSG00000142748	FCN3	protein_coding
1	27705666	27709870	-	ENSG00000174950	CD164L2	protein_coding
1	27719148	27722318	+	ENSG00000181773	GPR3	protein_coding
1	27730730	27816669	-	ENSG00000158195	WASF2	protein_coding
1	27860546	27930942	-	ENSG00000126705	AHDC1	protein_coding
1	27938575	27961788	-	ENSG00000000938	FGR	protein_coding
1	27992572	27998729	-	ENSG00000126709	IFI6	protein_coding
1	28052490	28088475	+	ENSG00000009780	FAM76A	protein_coding
1	28099694	28150963	+	ENSG00000117758	STX12	protein_coding
1	28157289	28178187	+	ENSG00000117751	PPP1R8	protein_coding
1	28199055	28213196	+	ENSG00000130775	C1orf38	protein_coding
1	28218035	28241257	-	ENSG00000117748	RPA2	protein_coding
1	28261504	28285668	+	ENSG00000130768	SMPDL3B	protein_coding
1	28285973	28294607	+	ENSG00000158156	XKR8	protein_coding
1	28296855	28415207	-	ENSG00000158161	EYA3	protein_coding
1	28473677	28520447	-	ENSG00000169403	PTAFR	protein_coding
1	28527013	28527152	-	ENSG00000215902	AL353354.1	protein_coding
1	28527068	28559536	-	ENSG00000126698	DNAJC8	protein_coding
1	28562620	28573417	+	ENSG00000130770	ATPIF1	protein_coding
1	28586038	28609002	+	ENSG00000130766	SESN2	protein_coding
1	28655513	28662476	+	ENSG00000130772	MED18	protein_coding
1	28696114	28826881	+	ENSG00000204138	PHACTR4	protein_coding
1	28832455	28865708	+	ENSG00000180198	RCC1	protein_coding
1	28879597	28905051	+	ENSG00000180098	TRNAU1AP	protein_coding
1	28915835	28969597	-	ENSG00000120656	TAF12	protein_coding
1	28918712	28921955	+	ENSG00000188060	RAB42	protein_coding
1	28995244	29045865	+	ENSG00000162419	GMEB1	protein_coding
1	29063133	29096287	+	ENSG00000198492	YTHDF2	protein_coding
1	29138654	29190208	+	ENSG00000116329	OPRD1	protein_coding
1	29213603	29446553	+	ENSG00000159023	EPB41	protein_coding
1	29445940	29450447	-	ENSG00000253304	TMEM200B	protein_coding
1	29474255	29508499	-	ENSG00000116350	SRSF4	protein_coding
1	29519385	29557454	-	ENSG00000116353	MECR	protein_coding
1	29563028	29653325	+	ENSG00000060656	PTPRU	protein_coding
1	31184124	31196434	-	ENSG00000162510	MATN1	protein_coding
1	31205316	31230667	-	ENSG00000162511	LAPTM5	protein_coding
1	31342314	31381608	-	ENSG00000162512	SDC3	protein_coding
1	31404353	31538838	-	ENSG00000134644	PUM1	protein_coding
1	31652592	31712401	-	ENSG00000084628	NKAIN1	protein_coding
1	31732417	31769662	-	ENSG00000060688	SNRNP40	protein_coding
1	31769842	31837783	+	ENSG00000121766	ZCCHC17	protein_coding
1	31838472	31849697	-	ENSG00000121769	FABP3	protein_coding
1	31882412	31907525	+	ENSG00000168528	SERINC2	protein_coding
